"prob_gron","prob_todd","prob_epcon","prob_u.asam","prob_u.dr"
13.72,33.79,5.67,0,0
1.72,4.1,0.01,0,0
2.09,5.52,0.17,0,0
1.5,3.45,0.11,0,0
0.95,0.03,0,0,0
0.76,1.48,0,0,0
0.98,1.7,0.01,0,0
5.77,24.59,0.07,0,0
1.45,1.1,0,0,0
1.27,3.24,0.33,0,0
7.7,30.22,0.26,0,0
22.57,39.26,15.31,0.22,0.29
1.14,2.31,0,0,0
0.23,0.02,0,0,0
3.91,14.85,0.05,0,0
0,0,0,0,0
3.01,18.6,0,0,0
51.85,70.49,42.19,0.54,0.58
4.98,15.44,0.78,0,0
0,0,0,0,0
0.01,0,0,0,0
0.76,0.01,0,0,0
6.33,22.03,0.96,0,0
3.21,8.49,0.99,0,0
1.56,4.23,0.01,0,0
0.56,0.02,0,0,0
6.98,32.01,0,0,0
0.02,0,0,0,0
22.54,36.99,15.62,0.96,0.84
0.02,0,0,0,0
2.28,7.05,0,0,0
4.63,14.74,0.67,0,0.01
10.28,27.38,3.86,0.02,0.03
4.18,21.37,0,0,0
0.99,0,0,0,0
0.59,0,0,0,0
0.42,0.83,0,0,0
0,0,0,0,0
28.13,59.58,10.1,0,0.02
19.45,41.07,10.75,0,0.02
1.04,0.05,0,0,0
13.48,21.03,10.03,0.9,0.7
1.48,4.09,0.02,0,0
1.74,0.01,0,0,0
7.55,36.84,0.01,0,0
15.02,42.85,3.1,0,0
0.78,0.6,0,0,0
3.39,19.31,0,0,0
1.17,3.03,0.22,0,0
24.07,36.54,18.1,1.05,0.92
6.38,32.96,0,0,0
0,0,0,0,0
0.63,1.28,0.02,0,0
2.51,12.7,0,0,0
1.24,3.07,0.13,0,0
4.48,14.61,0.42,0,0
1.29,3.15,0.25,0,0
17.51,38.94,8.6,0.01,0.02
18.19,37.29,10.56,0.1,0.21
3.22,7.96,0.98,0,0
5,13.51,1.05,0,0.02
12.85,21.95,8.77,0.53,0.49
14.64,43.43,2.09,0,0.01
0,0,0,0,0
2.85,8.54,0.63,0,0
0.57,0.39,0,0,0
9.62,37.69,0.15,0,0
3.74,12.3,0.53,0,0
0.78,0,0,0,0
1.51,3.52,0,0,0
2.3,6.86,0,0,0
13.87,39.7,3.95,0,0
14.73,35.88,6.43,0,0
22.28,48.47,10.22,0,0.02
0.67,0,0,0,0
1.47,3.13,0,0,0
82.23,93.41,73.23,0.61,0.92
2.23,14.87,0,0,0
0.74,0,0,0,0
6.13,15.85,2.48,0,0.01
0,0,0,0,0
1.9,6.45,0,0,0
0.83,1.26,0.01,0,0
4.28,21.71,0,0,0
1.82,6.47,0,0,0
35.41,50.14,28.03,2.28,1.88
25.05,53.37,13.1,0,0.05
1.25,0.79,0,0,0
0,0,0,0,0
0.53,1.07,0.04,0,0
0.96,0,0,0,0
0.34,0.52,0,0,0
0,0,0,0,0
0,0,0,0,0
0.7,0,0,0,0
0.01,0,0,0,0
0.29,0.58,0.01,0,0
2.4,7.39,0.07,0,0
4.05,11.19,0.82,0,0
0.6,1.17,0,0,0
1.95,6.45,0,0,0
4.62,13.37,1.12,0,0.01
0.02,0,0,0,0
0.49,0,0,0,0
2.25,7.5,0,0,0
4.16,13.29,0.42,0,0
1.24,0.05,0,0,0
0.92,2.47,0.16,0,0
0.06,0.01,0,0,0
7.13,34.26,0.04,0,0
0.68,0,0,0,0
1.06,0,0,0,0
6.89,33.28,0.04,0,0
0.08,0,0,0,0
4.74,20.43,0,0,0
2.24,6.05,0.24,0,0
61.78,79.16,51.76,0.47,0.62
0.04,0.04,0,0,0
1.47,2.44,0,0,0
0.86,0,0,0,0
1.68,4.56,0,0,0
2.23,7.62,0.02,0,0
1.39,3.43,0,0,0
0,0,0,0,0
10.24,25.85,3.96,0,0.02
0.9,1.31,0,0,0
1.89,4.48,0,0,0
0.47,0.01,0,0,0
5.15,12.39,2.22,0,0.05
0,0,0,0,0
19.36,31.95,14.11,0.78,0.8
3.97,11.65,0.66,0,0
7.2,31.79,0.02,0,0
8.06,17.19,3.79,0.04,0.03
2.15,7.44,0.09,0,0
16.33,25.08,12.48,1.14,1.03
1.19,0,0,0,0
7.88,18.43,3.44,0,0
0.45,0.6,0,0,0
0.82,0,0,0,0
4.77,11.45,2.04,0,0.01
12.88,29.42,6.79,0.01,0.03
9.5,33.89,1.54,0,0
10.48,37.26,0.83,0,0
5.93,14.01,3.21,0.02,0.01
0,0,0,0,0
5.12,19.94,0.07,0,0
3.2,9.32,0.5,0,0
0,0,0,0,0
0,0,0,0,0
2.48,5.26,1.08,0.01,0.03
1.52,1.32,0,0,0
0.64,1.44,0.08,0,0
8.41,18.5,4.2,0.03,0.03
10.63,38.8,0.12,0,0
0.52,1.01,0,0,0
65.66,77.08,58.46,9.42,7.72
0.8,2.13,0.04,0,0
0.96,0.87,0,0,0
1.72,5.65,0.01,0,0
2.65,9.59,0,0,0
22.79,42.62,14.66,0.03,0.09
0.97,2.39,0.05,0,0
0.63,1.61,0.04,0,0
0.26,0,0,0,0
16.48,43.04,5.21,0,0.03
0.36,0.62,0,0,0
8.73,26.23,1.77,0,0
1,0,0,0,0
0.98,0,0,0,0
9.43,21.83,4.74,0,0.02
1.49,3.62,0.01,0,0
11.82,41.64,0.43,0,0
12.98,36.54,3.86,0,0
4.53,15.15,0.81,0,0
0.05,0.03,0,0,0
23.86,59.6,2.31,0,0
16.21,59.6,1.9,0,0
2.39,9.3,0,0,0
6.46,39.38,0,0,0
8.91,39.52,0,0,0
0.48,0.63,0,0,0
0,0,0,0,0
17.72,33,11.55,0.09,0.12
0.28,0.46,0.01,0,0
13.15,22.97,9.19,0.14,0.14
6.24,24.78,0.19,0,0
0.87,0,0,0,0
0.87,0.27,0,0,0
0.11,0.01,0,0,0
2.43,9.51,0,0,0
24.95,47.41,15.27,0.02,0.02
2.91,11.01,0.17,0,0
8.45,28.37,0.85,0,0
0.4,0.07,0,0,0
1.91,4.65,0,0,0
0.85,0.19,0,0,0
19.36,50.8,3.69,0,0.04
1.54,2.88,0,0,0
0.93,2.35,0.09,0,0
0.01,0,0,0,0
0.68,0.17,0,0,0
2.8,9.94,0.16,0,0
0,0,0,0,0
0.48,0.12,0,0,0
3.24,19.92,0,0,0
0,0,0,0,0
2.07,1.36,0,0,0
0,0,0,0,0
0.01,0,0,0,0
21.36,42.07,13.31,0.01,0.09
1.01,0,0,0,0
8.83,18.77,4.19,0.07,0.08
8.07,32.1,0.43,0,0
1.2,0,0,0,0
0.9,0.4,0,0,0
4.01,11.76,0.78,0,0
9.03,16.79,5.47,0.19,0.17
0,0,0,0,0
0.97,0.16,0,0,0
12.81,34.29,4.73,0.02,0.01
1.06,1.52,0,0,0
30.67,47.41,22.77,0.33,0.29
0.85,0,0,0,0
0.54,0.35,0,0,0
1.55,2.07,0,0,0
1.26,0.55,0,0,0
26.78,47.95,17.21,0.13,0.13
0.91,0.94,0,0,0
0.56,0,0,0,0
1.13,3.28,0.1,0,0
1.06,2.5,0.05,0,0
1.46,3.94,0.28,0,0
23.37,55.16,7.91,0,0.01
1.97,3.97,0,0,0
1,0.02,0,0,0
1.57,4.42,0.16,0,0
10.31,22.22,5.08,0.04,0.02
1.12,0.07,0,0,0
3.76,13.51,0.6,0,0
0.24,0.09,0,0,0
0,0,0,0,0
6.1,15.03,2.53,0,0
0.27,0.3,0,0,0
29.56,59.34,15.35,0,0
0,0,0,0,0
1.04,0,0,0,0
3.15,14.73,0,0,0
9.79,22.02,4.43,0,0.05
23.54,53.45,9.95,0,0.01
1.31,1.77,0,0,0
25.2,59.68,2.35,0,0
1.07,2.12,0.02,0,0
2.82,9.2,0.13,0,0
2.29,7.34,0,0,0
4.29,20.57,0,0,0
0.01,0,0,0,0
2.66,6.68,0.98,0,0.01
0.69,0.85,0,0,0
2.83,10.77,0.01,0,0
0.31,0.52,0,0,0
