iter,M_lnCltot.1.,SD_lnCltot.1.,M_lnClmet.1.,SD_lnClmet.1.,M_lnkufrac.1.,SD_lnkufrac.1.,M_lnVdist.1.,SD_lnVdist.1.,M_lnVdistmet.1.,SD_lnVdistmet.1.,M_lnkgutabs.1.,SD_lnkgutabs.1.,M_lnFgluc.1.,SD_lnFgluc.1.,geomM_Cltot,geomSD_Cltot,geomM_Clmet,geomSD_Clmet,geomM_kufrac,geomSD_kufrac,geomM_Vdist,geomSD_Vdist,geomM_Vdistmet,geomSD_Vdistmet,geomM_kgutabs,geomSD_kgutabs,geomM_Fgluc,geomSD_Fgluc,Z score,Rand.indiv._Cltot,Rand.indiv._Clmet,Rand.indiv._kufrac,Rand.indiv._Vdist,Rand.indiv._Vdistmet,Rand.indiv._kgutabs,Rand.indiv._Fgluc
33250,0.12748,0.427247,4.92199,0.13352,-1.58844,0.339385,1.38771,0.385665,2.25851,0.183377,2.82377,0.276651,-2.27637,0.788801,1.135962149,1.533031274,137.2755198,1.142844123,0.204243984,1.404083813,4.005666565,1.47059194,9.568820996,1.2012672,16.84021877,1.318706062,0.102656173,2.200756137,-1.095613261,0.711330955,118.5937417,8.002075359,2.625234727,0.101157507,0.059778521,0.043257232
47050,0.357246,0.468063,3.94308,0.239601,-1.47566,0.410227,1.75324,0.494166,1.82605,0.314817,2.77179,0.0875007,-2.62663,0.599358,1.429387456,1.596898004,51.57721473,1.270742023,0.228627783,1.507159872,5.773277826,1.639130634,6.209311374,1.370008576,15.98722555,1.091443028,0.072321776,1.820949376,-0.574597953,1.092313538,44.9434825,3.518864016,4.34616231,0.479780011,0.221980851,0.051251014
36300,0.558099,0.462941,3.66117,0.146854,-1.26293,0.411594,1.51771,0.480986,2.17259,0.537895,4.24928,0.28253,-2.61518,0.688809,1.747347633,1.588739604,38.90683725,1.158184856,0.282824137,1.509221568,4.561766779,1.617668637,8.780997398,1.712398467,70.05495462,1.326481569,0.07315462,1.991342432,-0.50808516,1.381107271,36.1094882,2.867010907,3.572723361,0.567811525,0.153130297,0.051552549
47900,0.428589,0.440293,2.14357,0.325918,-1.56246,0.368134,1.39041,0.43069,1.91917,0.346422,3.53856,0.416539,-2.41052,0.739723,1.535089983,1.553162228,8.529834848,1.385301769,0.209619772,1.445035661,4.016496479,1.538318597,6.815299423,1.413999198,34.41732255,1.516703152,0.089768603,2.095355021,-1.334659863,0.852951667,5.521117728,11.62882174,2.260498454,0.10915164,0.013484222,0.033446819
43750,0.0214407,0.576502,5.19028,0.134677,-1.60015,0.396328,1.20649,0.520906,2.74415,0.0778549,3.05631,0.0560412,-2.43668,0.619196,1.021672203,1.779801783,179.5188112,1.144167159,0.201866236,1.486356763,3.341734555,1.683552257,15.55138963,1.080965799,21.2490035,1.057641258,0.087450706,1.857434064,-0.552399483,0.743030112,166.6481152,3.597539117,2.506135173,0.237399206,0.195486713,0.062117747
28650,0.504792,0.559307,3.83251,0.124348,-1.64003,0.540538,1.83095,0.544954,2.10133,0.216475,2.87438,0.0764094,-2.97282,0.714742,1.656640903,1.749459705,46.17830043,1.132409881,0.193974223,1.716930322,6.239811665,1.724529052,8.177038144,1.241692043,17.71443776,1.079404392,0.051158839,2.04365935,0.044315527,1.698215484,46.43347055,1.596572599,6.392336965,1.362875146,1.226039511,0.052805188
49850,0.447639,0.52,2.86071,0.103301,-1.3946,0.701422,1.53584,0.450989,2.2026,0.292537,3.22768,0.0989696,-2.31311,0.611355,1.564613768,1.68202765,17.47392902,1.108825115,0.247932189,2.016618301,4.645225881,1.569864013,9.048509066,1.339822309,25.22107615,1.104032736,0.098953029,1.842926874,-0.75904901,1.054359543,16.15612893,5.812389439,3.298663037,0.251743555,0.095274059,0.062215046
32350,0.439792,0.685928,6.10276,0.241912,-1.64297,0.448735,1.26904,0.746848,3.04913,0.168001,4.03413,0.309004,-2.00209,0.700107,1.552384289,1.98561363,447.0900373,1.273682104,0.193404776,1.566329525,3.557435784,2.110337738,21.09698206,1.182937794,56.49374929,1.362067819,0.135052728,2.013968191,0.31752159,1.93013307,482.7854165,0.929653404,4.509473311,3.114802055,4.903392783,0.168673411
29350,0.590229,0.339227,2.41901,0.150226,-1.54271,0.438587,1.53417,0.528549,2.34373,0.314691,3.2004,0.229361,-2.361,0.900408,1.804401576,1.403861986,11.23473142,1.162096847,0.213800915,1.550514793,4.637474828,1.696468945,10.42003088,1.369835966,24.54234517,1.257796021,0.09432585,2.460606834,-0.7881524,1.381080862,9.980258757,5.230346819,3.057485472,0.215989513,0.100958883,0.046390586
46800,0.624045,0.457989,5.02816,0.240738,-1.79288,0.634167,1.56615,0.416767,2.32835,0.672249,3.08791,0.247787,-2.6611,0.668777,1.866462634,1.580891613,152.6518747,1.272187678,0.166480016,1.885450907,4.788178176,1.517048999,10.26099691,1.958637346,21.93119385,1.28118701,0.069871321,1.951848749,-0.371121579,1.574716725,139.6049898,3.667621858,4.102016872,0.825429082,0.407300908,0.054514008
