Level	Simulation	Output_Var	Time	Data	Prediction
1_1	1	Ccpt	34		0.000274816
1_1	1	Ccpt	34.1		0.000268326
1_1	1	Ccpt	34.2		0.000261989
1_1	1	Ccpt	34.3		0.000255802
1_1	1	Ccpt	34.4		0.000249761
1_1	1	Ccpt	34.5		0.000243862
1_1	1	Ccpt	34.6		0.000238103
1_1	1	Ccpt	34.7		0.00023248
1_1	1	Ccpt	34.8		0.00022699
1_1	1	Ccpt	34.9		0.000221629
1_1	1	Ccpt	35		0.000216395
1_1	1	Ccpt	35.1		0.000211285
1_1	1	Ccpt	35.2		0.000206295
1_1	1	Ccpt	35.3		0.000201423
1_1	1	Ccpt	35.4		0.000196666
1_1	1	Ccpt	35.5		0.000192022
1_1	1	Ccpt	35.6		0.000187487
1_1	1	Ccpt	35.7		0.000183059
1_1	1	Ccpt	35.8		0.000178736
1_1	1	Ccpt	35.9		0.000174515
1_1	1	Ccpt	36		0.000170393
1_1	1	Ccpt	36.1		0.000166369
1_1	1	Ccpt	36.2		0.00016244
1_1	1	Ccpt	36.3		0.000158604
1_1	1	Ccpt	36.4		0.000154859
1_1	1	Ccpt	36.5		0.000151201
1_1	1	Ccpt	36.6		0.00014763
1_1	1	Ccpt	36.7		0.000144144
1_1	1	Ccpt	36.8		0.00014074
1_1	1	Ccpt	36.9		0.000137416
1_1	1	Ccpt	37		0.00013417
1_1	1	Ccpt	37.1		0.000131002
1_1	1	Ccpt	37.2		0.000127908
1_1	1	Ccpt	37.3		0.000124887
1_1	1	Ccpt	37.4		0.000121937
1_1	1	Ccpt	37.5		0.000119058
1_1	1	Ccpt	37.6		0.000116246
1_1	1	Ccpt	37.7		0.000113501
1_1	1	Ccpt	37.8		0.00011082
1_1	1	Ccpt	37.9		0.000108203
1_1	1	Ccpt	38		0.000105647
1_1	1	Ccpt	38.1		0.000103152
1_1	1	Ccpt	38.2		0.000100716
1_1	1	Ccpt	38.3		9.83376e-005
1_1	1	Ccpt	38.4		9.60151e-005
1_1	1	Ccpt	38.5		9.37476e-005
1_1	1	Ccpt	38.6		9.15335e-005
1_1	1	Ccpt	38.7		8.93717e-005
1_1	1	Ccpt	38.8		8.7261e-005
1_1	1	Ccpt	38.9		8.52001e-005
1_1	1	Ccpt	39		8.3188e-005
1_1	1	Ccpt	39.1		8.12234e-005
1_1	1	Ccpt	39.2		7.93052e-005
1_1	1	Ccpt	39.3		7.74323e-005
1_1	1	Ccpt	39.4		7.56036e-005
1_1	1	Ccpt	39.5		7.38182e-005
1_1	1	Ccpt	39.6		7.20748e-005
1_1	1	Ccpt	39.7		7.03727e-005
1_1	1	Ccpt	39.8		6.87108e-005
1_1	1	Ccpt	39.9		6.70881e-005
1_1	1	Ccpt	40		6.55037e-005
1_1	1	Ccpt	40.1		6.39568e-005
1_1	1	Ccpt	40.2		6.24463e-005
1_1	1	Ccpt	40.3		6.09716e-005
1_1	1	Ccpt	40.4		5.95317e-005
1_1	1	Ccpt	40.5		5.81258e-005
1_1	1	Ccpt	40.6		5.6753e-005
1_1	1	Ccpt	40.7		5.54127e-005
1_1	1	Ccpt	40.8		5.41041e-005
1_1	1	Ccpt	40.9		5.28264e-005
1_1	1	Ccpt	41		5.15788e-005
1_1	1	Ccpt	41.1		5.03607e-005
1_1	1	Ccpt	41.2		4.91714e-005
1_1	1	Ccpt	41.3		4.80101e-005
1_1	1	Ccpt	41.4		4.68763e-005
1_1	1	Ccpt	41.5		4.57693e-005
1_1	1	Ccpt	41.6		4.46884e-005
1_1	1	Ccpt	41.7		4.3633e-005
1_1	1	Ccpt	41.8		4.26026e-005
1_1	1	Ccpt	41.9		4.15964e-005
1_1	1	Ccpt	42		4.06141e-005
1_1	1	Ccpt	42.1		3.96549e-005
1_1	1	Ccpt	42.2		3.87184e-005
1_1	1	Ccpt	42.3		3.78041e-005
1_1	1	Ccpt	42.4		3.69113e-005
1_1	1	Ccpt	42.5		3.60396e-005
1_1	1	Ccpt	42.6		3.51884e-005
1_1	1	Ccpt	42.7		3.43574e-005
1_1	1	Ccpt	42.8		3.3546e-005
1_1	1	Ccpt	42.9		3.27538e-005
1_1	1	Ccpt	43		3.19803e-005
1_1	1	Ccpt	43.1		3.1225e-005
1_1	1	Ccpt	43.2		3.04876e-005
1_1	1	Ccpt	43.3		2.97676e-005
1_1	1	Ccpt	43.4		2.90646e-005
1_1	1	Ccpt	43.5		2.83782e-005
1_1	1	Ccpt	43.6		2.7708e-005
1_1	1	Ccpt	43.7		2.70537e-005
1_1	1	Ccpt	43.8		2.64147e-005
1_1	1	Ccpt	43.9		2.57909e-005
1_1	1	Ccpt	44		2.51818e-005
1_1	1	Ccpt	44.1		2.45871e-005
1_1	1	Ccpt	44.2		2.40064e-005
1_1	1	Ccpt	44.3		2.34395e-005
1_1	1	Ccpt	44.4		2.28859e-005
1_1	1	Ccpt	44.5		2.23454e-005
1_1	1	Ccpt	44.6		2.18176e-005
1_1	1	Ccpt	44.7		2.13024e-005
1_1	1	Ccpt	44.8		2.07993e-005
1_1	1	Ccpt	44.9		2.03081e-005
1_1	1	Ccpt	45		1.98284e-005
1_1	1	Ccpt	45.1		1.93602e-005
1_1	1	Ccpt	45.2		1.8903e-005
1_1	1	Ccpt	45.3		1.84565e-005
1_1	1	Ccpt	45.4		1.80207e-005
1_1	1	Ccpt	45.5		1.75951e-005
1_1	1	Ccpt	45.6		1.71795e-005
1_1	1	Ccpt	45.7		1.67738e-005
1_1	1	Ccpt	45.8		1.63777e-005
1_1	1	Ccpt	45.9		1.59909e-005
1_1	1	Ccpt	46		1.56132e-005
1_1	1	Ccpt	46.1		1.52445e-005
1_1	1	Ccpt	46.2		1.48845e-005
1_1	1	Ccpt	46.3		1.45329e-005
1_1	1	Ccpt	46.4		1.41897e-005
1_1	1	Ccpt	46.5		1.38546e-005
1_1	1	Ccpt	46.6		1.35274e-005
1_1	1	Ccpt	46.7		1.32079e-005
1_1	1	Ccpt	46.8		1.2896e-005
1_1	1	Ccpt	46.9		1.25914e-005
1_1	1	Ccpt	47		1.22941e-005
1_1	1	Ccpt	47.1		1.20037e-005
1_1	1	Ccpt	47.2		1.17202e-005
1_1	1	Ccpt	47.3		1.14434e-005
1_1	1	Ccpt	47.4		1.11732e-005
1_1	1	Ccpt	47.5		1.09093e-005
1_1	1	Ccpt	47.6		1.06517e-005
1_1	1	Ccpt	47.7		1.04001e-005
1_1	1	Ccpt	47.8		1.01545e-005
1_1	1	Ccpt	47.9		9.91471e-006
1_1	1	Ccpt	48		9.68057e-006

1_1	1	Ctot	0		0
1_1	1	Ctot	0.1		0.969379
1_1	1	Ctot	0.2		0.976758
1_1	1	Ctot	0.3		0.954635
1_1	1	Ctot	0.4		0.932119
1_1	1	Ctot	0.5		0.910107
1_1	1	Ctot	0.6		0.888614
1_1	1	Ctot	0.7		0.867628
1_1	1	Ctot	0.8		0.847138
1_1	1	Ctot	0.9		0.827131
1_1	1	Ctot	1		0.807598
1_1	1	Ctot	1.1		0.788525
1_1	1	Ctot	1.2		0.769903
1_1	1	Ctot	1.3		0.751721
1_1	1	Ctot	1.4		0.733968
1_1	1	Ctot	1.5		0.716635
1_1	1	Ctot	1.6		0.69971
1_1	1	Ctot	1.7		0.683186
1_1	1	Ctot	1.8		0.667052
1_1	1	Ctot	1.9		0.651298
1_1	1	Ctot	2		0.635917
1_1	1	Ctot	2.1		0.620899
1_1	1	Ctot	2.2		0.606236
1_1	1	Ctot	2.3		0.591919
1_1	1	Ctot	2.4		0.57794
1_1	1	Ctot	2.5		0.564291
1_1	1	Ctot	2.6		0.550965
1_1	1	Ctot	2.7		0.537953
1_1	1	Ctot	2.8		0.525249
1_1	1	Ctot	2.9		0.512844
1_1	1	Ctot	3		0.500733
1_1	1	Ctot	3.1		0.488907
1_1	1	Ctot	3.2		0.477361
1_1	1	Ctot	3.3		0.466088
1_1	1	Ctot	3.4		0.45508
1_1	1	Ctot	3.5		0.444333
1_1	1	Ctot	3.6		0.43384
1_1	1	Ctot	3.7		0.423594
1_1	1	Ctot	3.8		0.41359
1_1	1	Ctot	3.9		0.403823
1_1	1	Ctot	4		0.394286
1_1	1	Ctot	4.1		0.384974
1_1	1	Ctot	4.2		0.375883
1_1	1	Ctot	4.3		0.367006
1_1	1	Ctot	4.4		0.358339
1_1	1	Ctot	4.5		0.349876
1_1	1	Ctot	4.6		0.341613
1_1	1	Ctot	4.7		0.333546
1_1	1	Ctot	4.8		0.325668
1_1	1	Ctot	4.9		0.317977
1_1	1	Ctot	5		0.310468
1_1	1	Ctot	5.1		0.303136
1_1	1	Ctot	5.2		0.295977
1_1	1	Ctot	5.3		0.288987
1_1	1	Ctot	5.4		0.282162
1_1	1	Ctot	5.5		0.275499
1_1	1	Ctot	5.6		0.268992
1_1	1	Ctot	5.7		0.26264
1_1	1	Ctot	5.8		0.256437
1_1	1	Ctot	5.9		0.250381
1_1	1	Ctot	6		0.244468
1_1	1	Ctot	6.1		0.238695
1_1	1	Ctot	6.2		0.233058
1_1	1	Ctot	6.3		0.227554
1_1	1	Ctot	6.4		0.22218
1_1	1	Ctot	6.5		0.216933
1_1	1	Ctot	6.6		0.211809
1_1	1	Ctot	6.7		0.206807
1_1	1	Ctot	6.8		0.201923
1_1	1	Ctot	6.9		0.197155
1_1	1	Ctot	7		0.192499
1_1	1	Ctot	7.1		0.187953
1_1	1	Ctot	7.2		0.183514
1_1	1	Ctot	7.3		0.17918
1_1	1	Ctot	7.4		0.174948
1_1	1	Ctot	7.5		0.170817
1_1	1	Ctot	7.6		0.166783
1_1	1	Ctot	7.7		0.162844
1_1	1	Ctot	7.8		0.158998
1_1	1	Ctot	7.9		0.155243
1_1	1	Ctot	8		0.151577
1_1	1	Ctot	8.1		0.147997
1_1	1	Ctot	8.2		0.144502
1_1	1	Ctot	8.3		0.141089
1_1	1	Ctot	8.4		0.137757
1_1	1	Ctot	8.5		0.134504
1_1	1	Ctot	8.6		0.131328
1_1	1	Ctot	8.7		0.128226
1_1	1	Ctot	8.8		0.125198
1_1	1	Ctot	8.9		0.122241
1_1	1	Ctot	9		0.119354
1_1	1	Ctot	9.1		0.116536
1_1	1	Ctot	9.2		0.113784
1_1	1	Ctot	9.3		0.111096
