Level	Simulation	Output_Var	Time	Data	Prediction
1_1	1	Ccpt	37.5		2.76812e-005
1_1	1	Ccpt	37.6		2.6961e-005
1_1	1	Ccpt	37.7		2.62595e-005
1_1	1	Ccpt	37.8		2.55763e-005
1_1	1	Ccpt	37.9		2.49108e-005
1_1	1	Ccpt	38		2.42627e-005
1_1	1	Ccpt	38.1		2.36314e-005
1_1	1	Ccpt	38.2		2.30165e-005
1_1	1	Ccpt	38.3		2.24177e-005
1_1	1	Ccpt	38.4		2.18344e-005
1_1	1	Ccpt	38.5		2.12663e-005
1_1	1	Ccpt	38.6		2.0713e-005
1_1	1	Ccpt	38.7		2.01741e-005
1_1	1	Ccpt	38.8		1.96492e-005
1_1	1	Ccpt	38.9		1.91379e-005
1_1	1	Ccpt	39		1.864e-005
1_1	1	Ccpt	39.1		1.8155e-005
1_1	1	Ccpt	39.2		1.76826e-005
1_1	1	Ccpt	39.3		1.72226e-005
1_1	1	Ccpt	39.4		1.67745e-005
1_1	1	Ccpt	39.5		1.6338e-005
1_1	1	Ccpt	39.6		1.59129e-005
1_1	1	Ccpt	39.7		1.54989e-005
1_1	1	Ccpt	39.8		1.50956e-005
1_1	1	Ccpt	39.9		1.47029e-005
1_1	1	Ccpt	40		1.43203e-005
1_1	1	Ccpt	40.1		1.39477e-005
1_1	1	Ccpt	40.2		1.35848e-005
1_1	1	Ccpt	40.3		1.32314e-005
1_1	1	Ccpt	40.4		1.28871e-005
1_1	1	Ccpt	40.5		1.25518e-005
1_1	1	Ccpt	40.6		1.22252e-005
1_1	1	Ccpt	40.7		1.19071e-005
1_1	1	Ccpt	40.8		1.15973e-005
1_1	1	Ccpt	40.9		1.12956e-005
1_1	1	Ccpt	41		1.10016e-005
1_1	1	Ccpt	41.1		1.07154e-005
1_1	1	Ccpt	41.2		1.04366e-005
1_1	1	Ccpt	41.3		1.0165e-005
1_1	1	Ccpt	41.4		9.90052e-006
1_1	1	Ccpt	41.5		9.64291e-006
1_1	1	Ccpt	41.6		9.39201e-006
1_1	1	Ccpt	41.7		9.14764e-006
1_1	1	Ccpt	41.8		8.90962e-006
1_1	1	Ccpt	41.9		8.67779e-006
1_1	1	Ccpt	42		8.452e-006
1_1	1	Ccpt	42.1		8.23209e-006
1_1	1	Ccpt	42.2		8.01789e-006
1_1	1	Ccpt	42.3		7.80925e-006
1_1	1	Ccpt	42.4		7.60606e-006
1_1	1	Ccpt	42.5		7.40814e-006
1_1	1	Ccpt	42.6		7.21539e-006
1_1	1	Ccpt	42.7		7.02765e-006
1_1	1	Ccpt	42.8		6.84481e-006
1_1	1	Ccpt	42.9		6.66671e-006
1_1	1	Ccpt	43		6.49326e-006
1_1	1	Ccpt	43.1		6.32431e-006
1_1	1	Ccpt	43.2		6.15976e-006
1_1	1	Ccpt	43.3		5.99949e-006
1_1	1	Ccpt	43.4		5.8434e-006
1_1	1	Ccpt	43.5		5.69136e-006
1_1	1	Ccpt	43.6		5.54328e-006
1_1	1	Ccpt	43.7		5.39905e-006
1_1	1	Ccpt	43.8		5.25858e-006
1_1	1	Ccpt	43.9		5.12176e-006
1_1	1	Ccpt	44		4.9885e-006
1_1	1	Ccpt	44.1		4.8587e-006
1_1	1	Ccpt	44.2		4.73229e-006
1_1	1	Ccpt	44.3		4.60916e-006
1_1	1	Ccpt	44.4		4.48924e-006
1_1	1	Ccpt	44.5		4.37243e-006
