Results of Simulation 1

Time	Ccpt_out	Ctot_out	Qu_out	Qu_tot_out
38.5	1e-015	1e-015	49981.3	75142.6
38.6	1e-015	1e-015	49981.3	75142.6
38.7	1e-015	1e-015	49981.3	75142.6
38.8	1e-015	1e-015	49981.3	75142.6
38.9	1e-015	1e-015	49981.3	75142.6
39	1e-015	1e-015	49981.3	75142.6
39.1	1e-015	1e-015	49981.3	75142.6
39.2	1e-015	1e-015	49981.3	75142.6
39.3	1e-015	1e-015	49981.3	75142.6
39.4	1e-015	1e-015	49981.3	75142.6
39.5	1e-015	1e-015	49981.3	75142.6
39.6	1e-015	1e-015	49981.3	75142.6
39.7	1e-015	1e-015	49981.3	75142.6
39.8	1e-015	1e-015	49981.3	75142.6
39.9	1e-015	1e-015	49981.3	75142.6
40	1e-015	1e-015	49981.3	75142.6
40.1	1e-015	1e-015	49981.3	75142.6
40.2	1e-015	1e-015	49981.3	75142.6
40.3	1e-015	1e-015	49981.3	75142.6
40.4	1e-015	1e-015	49981.3	75142.6
40.5	1e-015	1e-015	49981.3	75142.6
40.6	1e-015	1e-015	49981.3	75142.6
40.7	1e-015	1e-015	49981.3	75142.6
40.8	1e-015	1e-015	49981.3	75142.6
40.9	1e-015	1e-015	49981.3	75142.6
41	1e-015	1e-015	49981.3	75142.6
41.1	1e-015	1e-015	49981.3	75142.6
41.2	1e-015	1e-015	49981.3	75142.6
41.3	1e-015	1e-015	49981.3	75142.6
41.4	1e-015	1e-015	49981.3	75142.6
41.5	1e-015	1e-015	49981.3	75142.6
41.6	1e-015	1e-015	49981.3	75142.6
41.7	1e-015	1e-015	49981.3	75142.6
41.8	1e-015	1e-015	49981.3	75142.6
41.9	1e-015	1e-015	49981.3	75142.6
42	1e-015	1e-015	49981.3	75142.6
42.1	1e-015	1e-015	49981.3	75142.6
42.2	1e-015	1e-015	49981.3	75142.6
42.3	1e-015	1e-015	49981.3	75142.6
42.4	1e-015	1e-015	49981.3	75142.6
42.5	1e-015	1e-015	49981.3	75142.6
42.6	1e-015	1e-015	49981.3	75142.6
42.7	1e-015	1e-015	49981.3	75142.6
42.8	1e-015	1e-015	49981.3	75142.6
42.9	1e-015	1e-015	49981.3	75142.6
43	1e-015	1e-015	49981.3	75142.6
43.1	1e-015	1e-015	49981.3	75142.6
43.2	1e-015	1e-015	49981.3	75142.6
43.3	1e-015	1e-015	49981.3	75142.6
43.4	1e-015	1e-015	49981.3	75142.6
43.5	1e-015	1e-015	49981.3	75142.6
43.6	1e-015	1e-015	49981.3	75142.6
43.7	1e-015	1e-015	49981.3	75142.6
43.8	1e-015	1e-015	49981.3	75142.6
43.9	1e-015	1e-015	49981.3	75142.6
44	1e-015	1e-015	49981.3	75142.6
44.1	1e-015	1e-015	49981.3	75142.6
44.2	1e-015	1e-015	49981.3	75142.6
44.3	1e-015	1e-015	49981.3	75142.6
44.4	1e-015	1e-015	49981.3	75142.6
44.5	1e-015	1e-015	49981.3	75142.6
44.6	1e-015	1e-015	49981.3	75142.6
44.7	1e-015	1e-015	49981.3	75142.6
44.8	1e-015	1e-015	49981.3	75142.6
44.9	1e-015	1e-015	49981.3	75142.6
45	1e-015	1e-015	49981.3	75142.6
45.1	1e-015	1e-015	49981.3	75142.6
45.2	1e-015	1e-015	49981.3	75142.6
45.3	1e-015	1e-015	49981.3	75142.6
45.4	1e-015	1e-015	49981.3	75142.6
